Price,Size,Bedroom,Bathroom,Pool,Garage,Township
342,1947,2,2,Y,Y,Area2
344,2431,3,4,N,Y,Area2
344,2520,3,3,N,Y,Area2
344,1995,3,2,N,Y,Area2
345,2334,4,3,N,Y,Area3
345,2124,2,2,N,Y,Area3
345,1916,2,2,N,Y,Area2
348,1885,3,2,N,Y,Area2
348,2025,4,3,Y,Y,Area3
349,1483,3,2,Y,Y,Area1
349,1585,3,2,Y,Y,Area1
349,1797,2,2,Y,Y,Area2
349,2245,3,2,Y,Y,Area2
349,2148,3,2,N,Y,Area3
349,1715,3,3,N,Y,Area3
350,2634,5,3,N,Y,Area3
350,1916,2,2,Y,Y,Area2
350,1885,3,2,N,Y,Area2
350,2000,3,2,N,Y,Area3
350,2286,4,3,N,Y,Area2
350,2101,2,2,N,N,Area2
350,2374,3,2,N,Y,Area1
350,2030,3,2,Y,Y,Area2
350,2096,3,2,Y,Y,Area2
350,2319,3,2,N,Y,Area3
354,2244,3,2,N,Y,Area3
355,1862,2,2,N,Y,Area2
355,2004,3,2,Y,Y,Area2
355,2431,3,4,N,Y,Area2
357,1870,2,2,N,Y,Area3
358,2000,3,3,Y,Y,Area3
359,1981,3,2,Y,Y,Area3
359,1658,3,2,N,Y,Area3
359,2267,4,3,N,Y,Area3
360,2291,3,2,Y,Y,Area2
360,1730,2,2,N,Y,Area2
362,1990,2,2,N,Y,Area3
362,2422,4,4,N,Y,Area2
365,1967,3,2,N,Y,Area2
365,2156,3,2,Y,Y,Area3
365,1866,3,2,N,Y,Area2
365,2085,3,2,N,Y,Area2
365,1977,3,2,N,Y,Area3
368,2049,3,2,N,Y,Area2
369,2765,3,3,Y,Y,Area3
369,2108,3,2,N,Y,Area2
369,2254,3,3,Y,Y,Area2
369,2108,3,2,N,Y,Area3
369,2300,3,3,N,Y,Area3
370,2000,3,3,N,Y,Area3
372,2141,3,2,Y,Y,Area3
374,2445,3,2,Y,Y,Area2
375,2700,3,3,Y,Y,Area2
375,2353,2,2,N,Y,Area2
375,2435,3,2,N,Y,Area3
375,2154,3,2,Y,Y,Area3
375,2551,3,3,N,Y,Area2
375,2024,3,2,Y,Y,Area3
375,2086,3,2,Y,Y,Area3
375,2183,3,2,Y,Y,Area3
376,1978,3,2,Y,Y,Area3
376,2020,3,2,N,Y,Area3
377,2551,3,3,N,Y,Area2
378,2587,3,3,N,Y,Area2
378,2579,2,2,Y,Y,Area3
379,1985,3,2,Y,Y,Area3
379,2541,3,3,N,Y,Area3
379,1751,2,2,N,Y,Area1
380,1947,3,3,Y,Y,Area3
380,1437,2,2,Y,Y,Area3
380,2129,3,2,N,Y,Area3
380,1861,3,2,Y,Y,Area2
380,2216,3,3,Y,Y,Area3
380,2236,2,2,Y,Y,Area3
385,2207,3,2,Y,Y,Area3
385,2032,3,2,Y,Y,Area2
385,2290,3,2,Y,Y,Area2
385,2188,3,2,Y,Y,Area3
386,1870,2,2,N,Y,Area3
388,2581,3,3,Y,Y,Area2
389,2021,3,2,Y,Y,Area3
389,2110,3,2,Y,Y,Area3
389,2373,3,3,N,Y,Area2
389,2045,3,2,N,Y,Area3
389,2044,3,2,N,Y,Area3
389,2615,3,2,Y,Y,Area3
389,2178,3,2,N,Y,Area3
390,2045,3,2,N,Y,Area3
390,2444,3,3,N,Y,Area3
395,1883,3,2,Y,Y,Area2
395,1930,3,3,N,Y,Area1
397,1969,4,2,Y,Y,Area2
399,2635,5,4,Y,Y,Area2
399,2340,3,3,N,Y,Area2
399,2108,3,2,Y,Y,Area2
399,2184,3,3,Y,Y,Area2
399,2424,4,3,Y,Y,Area3
399,2311,4,2,Y,Y,Area2
399,2082,3,2,N,Y,Area1
399,1430,2,2,N,Y,Area3
400,2340,3,2,Y,Y,Area3
400,2426,3,3,N,Y,Area3
400,2380,3,2,Y,Y,Area2
400,2146,3,3,N,Y,Area2
400,2661,3,3,Y,Y,Area2
400,2082,3,2,Y,Y,Area1
400,2369,4,3,N,Y,Area2
400,2237,3,3,Y,Y,Area3
410,2141,3,2,Y,Y,Area3
415,2186,3,3,Y,Y,Area1
415,1858,2,2,Y,Y,Area3
419,2430,3,2,Y,Y,Area3
419,2041,3,2,Y,Y,Area2
419,2039,3,2,Y,Y,Area2
420,1887,3,2,Y,Y,Area2
425,2276,3,2,Y,Y,Area1
430,2791,4,3,Y,Y,Area2
430,2360,3,2,Y,Y,Area2
